id,sentence,acceptable,error_type,detailed_source
122,"Автор Веверлея существовал в действительности, а не только в легендах.",1,0,Seliverstova
123,Но над святым островом поцарствовала ночь – а ночью обычные птицы не покидают своих укрытий.,0,Semantics,Paducheva2010
124,"Когда узнаете, что такое метранпаж, позвоните в 210 номер.",1,0,Paducheva2010
125,"Принеси из сада мою кофту, я оставила ее в беседке.",1,0,Seliverstova
126,Откуда я возьму такие деньги?,1,0,Paducheva2013
127,Быть убитым своим же пациентом... какая ужасная трагедия!,1,0,Lutikova
128,"Вся бытовая техника, как правило, выходит из строя на другой день после окончания гарантийного срока.",1,0,USE5
129,За обозом чинно следовали женщины.,1,0,Paducheva2004
130,"Когда у меня возникали некоторые сомнения, он всегда говорил очень убедительно.",1,0,Testelets
131,"Я получил его донесение, но еще не прочел.",1,0,Seliverstova
132,Солдаты грелись вблизи костров.,0,Semantics,Seliverstova
133,"Иван знает, что приехала Маша.",1,0,Paducheva2013
134,Правильная и своевременная корневая подкормка растений является гарантией высокого урожая.,1,0,USE5
135,Эти препараты сейчас появились.,1,0,Paducheva2004
136,Я решил дать вам дело №126 на доследование.,1,0,Seliverstova
137,"Упреки этого рода, будь они иначе поставлены, были бы для меня самыми драгоценными упреками.",1,0,Testelets
138,"Вот честное слово, жалко, что каждый раз ему выступать первый перед, если можно так выразиться, неразогретым залом.",0,Syntax,Lutikova
139,"Нельзя ни к кому не обращаться, когда ты нуждаешься в помощи.",1,0,Seliverstova
140,В Белоруссии либеральных газет не осталось.,1,0,Paducheva2013
141,Отопление два дня было выключено.,0,Semantics,Paducheva2004
142,По окончанию института наши выпускники могут рассчитывать на трудоустройство в профильных компаниях.,0,Syntax,USE8
143,После этого он утратил какой бы то ни было интерес к происходящему.,1,0,Paducheva2013
144,Около флакона духов стояла пудреница.,1,0,Seliverstova
145,"Кому ты хочешь, чтобы я достал книгу?",1,0,Testelets
146,Дружное нападение нашего войска решило исход дела.,1,0,Paducheva2004
147,Его внимание остановилось на небольшой картине в углу.,1,0,Paducheva2004
148,"Надо тебе заметить, что в доме у нее порядок.",1,0,Paducheva2004
149,Он дошел от Казани.,0,Semantics,Paducheva2004
150,Это пальто они покупали вместе.,1,0,Paducheva2010
151,"Не думаю, чтобы он что-либо изменил.",1,0,Paducheva2013
152,У нас фамилии и имена начинались с одной буквы.,1,0,Paducheva2004
153,Ты не должен ей потакать.,1,0,Paducheva2013
154,Люди не любят правду.,1,0,Seliverstova
155,Этот выстрел решил мою судьбу –– я стал стрелком.,1,0,Paducheva2004
156,Приносить спиртные напитки и распивать их запрещается.,1,0,Testelets
157,Осмотр дома он начал почему-то со двора.,1,0,Paducheva2004
158,"Линолеум можно оставить у нас, а насчет краски что-нибудь придумаем.",1,0,Testelets
159,Что-то треснуло в овраге –– это медведь.,1,0,Paducheva2004
160,"Это наш корреспондент, который сейчас находится в городе, который подвергся бомбардировке.",0,Syntax,USE8
161,"Деньги, которые он тебе дал, его собственные.",1,0,Paducheva2004
162,За каменной высокой стеной находятся бывшие архиерейские палаты.,1,0,USE5
163,"Получив данные, будет выбран самый благоприятный момент для нанесения удара.",0,Syntax,Testelets
164,Он принял чужое имя.,1,0,Seliverstova
165,"Может быть, нам открыть окно, чтобы как следует проветрить комнату?",1,0,Testelets
166,Она приняла ребенка к себе на руки.,1,0,Seliverstova
167,"Отними ружье у Антошки, я приказываю тебе.",1,0,Paducheva2010
168,Иван взял с собой плащ или куртку.,1,0,Paducheva2013
169,Для настоящего альпиниста штурм этой вершины не представляет затруднений.,1,0,USE5
170,Мощность C множества А превосходит мощность С множества В.,1,0,Testelets
171,Сразу по приезду в Коломну боярин Всеволожский был схвачен и закован в железо.,0,Syntax,USE8
172,Он берет уроки русского языка.,1,0,Seliverstova
173,Я прочел уже больше половины книги.,1,0,Paducheva2010
174,"Как узнаешь, звони в 210 номер.",1,0,Paducheva2010
175,Коля нигде не был.,1,0,Paducheva2013
176,Доставляли мы в санбат?,1,0,Paducheva2010
177,Она живет в маленьком городе близ Москвы.,0,Semantics,Seliverstova
178,Железная ограда ее окружает.,1,0,Testelets
179,Жене моей нездоровится.,1,0,Rusgram
180,Меня включили заниматься этой проблемой.,0,Syntax,Testelets
181,Мяч уходит на угловой.,1,0,Paducheva2010
182,"Нож резал плохо, у меня вся рука в мозолях.",1,0,Paducheva2004
183,Книга была охотно продана студенту букинистом.,1,0,Testelets
184,"Учреждённая лига группой экспертов, считающих себя независимыми, готовится предоставлять практически любые виды услуг.",0,Syntax,USE8
185,"Ведь если бежать с ускорением, прыгуну сообщится больше энергии, и он прыгнет более выше.",0,Morphology,USE7
186,Молодое поколение художников стремится и выбирает для себя новые ценности и ориентиры в искусстве.,0,Syntax,USE8
187,"Рядом с тем местом, где стоял стул, лежал маленький коврик.",1,0,Seliverstova
188,"Она сидела так далеко от меня, что я не видел, когда она ушла.",1,0,Seliverstova
189,"Он пробежал эту дистанцию за 10 секунд и, таким образом, взял преимущество над своими соперниками.",0,Semantics,Seliverstova
190,Ты не будешь больше сюда ходить.,1,0,Rusgram
191,Бóльшая часть продуктов хранилась в морозильной камере.,1,0,USE5
192,Я часто вспоминаю Лёшины печальные карие глаза.,1,0,USE5
193,Церковь стоит на холме.,1,0,Paducheva2010
194,"Вообще-то вода в этой реке теплая, но сегодня она холодная.",1,0,Seliverstova
195,"Когда ты вошел, я не обедал.",0,Semantics,Paducheva2013
196,А кому он теперь должен был докладывать кому?,1,0,Lutikova
197,"Те, кто называют себя патриотами, должен хорошо знать родной язык.",0,Syntax,USE8
198,"Нет, ну скажи, могла ты думать вчера в это время, что будешь сидеть в тепле и пить горячий чай?",1,0,Paducheva2004
199,"Я видел желтое пятнышко, но не понял, что это оно.",0,Semantics,Paducheva2004
200,"Конечно, против такой системы ценностей решительно ополчились совдеповские образованцы, отвергавшие всякие традиции, а тем более столь возвышенные.",1,0,Paducheva2013
201,Когда же выпадал этот снег?,0,Semantics,Paducheva2010
202,Афанасьевна и Софья стояли вблизи и слушали.,0,Semantics,Seliverstova
203,Беженцы гибнут в горах.,1,0,Testelets
204,Вскоре он не понял свою ошибку.,0,Semantics,Paducheva2013
205,Гессен не был виновен ни в каких преступлениях.,1,0,Paducheva2013
206,Иногда к ней приходят ее друзья.,1,0,Seliverstova
207,Я положил ружье рядом с собой.,1,0,Seliverstova
208,"Что вы хотите, чтобы я сказал?",1,0,Rusgram
209,Павел Алексеевич уже перестал ждать какого бы то ни было ответа.,1,0,Paducheva2013
210,"Все успокоилось, и лишь где-то вдалеке все еще гремел гром.",1,0,Seliverstova
211,Я предложил Ивану сходить туда вместе.,1,0,Testelets
212,"В мировой литературе есть огромное количество произведений, посвящённым женщине.",0,Syntax,USE8
213,"Зимними холодными вечерами они сидели у камина, читали или разговаривали.",1,0,Seliverstova
214,Автобус не должен отправляться ночью.,1,0,Paducheva2013
215,Помню свои впечатления от этой поездки ― по обеим сторонам дороги тянулись заросли сирени.,1,0,USE7
216,"Иван не знает, что Маша уехала.",1,0,Paducheva2013
217,"Иван знает, что Маша уехала.",1,0,Paducheva2013
218,Не дымилось больше заводских труб за рекой.,1,0,Paducheva2013
219,"На пруду, которого поверхность виднелась сквозь аллеи, заливались лягушки.",1,0,Paducheva2010
220,"Я открыл окно, чтобы проветрить комнату.",1,0,Testelets
221,"Да я, впрочем, не спорить пришел, а, узнав про вторую беду твою, пришел утешить, потолковать с другом.",1,0,Paducheva2004
222,Долгое время она звала сына к себе.,1,0,Paducheva2010
223,Перемен в технической политике фирмы еще не началось.,0,Semantics,Paducheva2013
224,Я предпочитаю воздерживаться от всякого вмешательства.,1,0,Paducheva2013
225,"Так ведь и я тебя тоже люблю, — за то и боль приняла.",1,0,Seliverstova
226,Ты переставлял мои книги?,1,0,Paducheva2010
227,Она вынула из сумки деньги и протянула их продавцу.,1,0,Seliverstova
228,"Я хочу, чтобы они зайдут, когда ты спрячешься.",0,Syntax,Testelets
229,"В тот час, когда уже, кажется, и сил не было дышать, никто не пришел под липы.",1,0,Paducheva2010
230,"Когда я вошел в комнату, худенький мальчик, одетый в гимназическую форму, кормил рыб в аквариуме.",1,0,Seliverstova
231,"Все вымокнув под дождем, они добежали до станции.",1,0,Testelets
232,"Он не знает, что Иван приехал.",1,0,Testelets
233,"Сверх запасов, зафиксированных ЛБМ и МИА, в мире находится более 4 млн тонн алюминия, которые в основном нигде не зафиксированы.",1,0,Paducheva2013
234,Встретимся в сквере рядом с метро «Университет».,1,0,Seliverstova
235,"Поднимаясь вдоль горного склона, температура воздуха понижается, и содержащаяся в нём влага на высоте более двух километров начинает конденсироваться, образуя облако.",0,Syntax,USE8
236,"Иван, когда я поступил в институт, очень обрадовался.",1,0,Testelets
237,"Многие из тех, кто любят классическую музыку, с трудом выносят прослушивание современных поп-хитов.",0,Syntax,USE8
238,"Каждому времени нужен как свой летописец в области исторических событий, так и быта и уклада.",0,Syntax,USE8
239,"Конечно, и мы, и родители— все беспокоились за то, чтобы успешно сдать выпускные экзамены.",0,Syntax,USE8
240,"Вошел врач, и лицо больного опять приняло спокойное выражение.",1,0,Seliverstova
241,Он второпях не оставил ключи.,1,0,Paducheva2013
242,"Вместо того, чтобы заниматься, Миша слушает диски.",1,0,Testelets
243,"Трудно не пытаться ничего не сделать, когда ты понимаешь, что от этого зависит вся твоя жизнь.",1,0,Seliverstova
244,"Попугайчика вовремя не покормили, и он умер.",1,0,Paducheva2013
245,"Я был около ее дома, но внутрь меня не пустили.",1,0,Seliverstova
246,Он показался в назначенный срок.,0,Semantics,Paducheva2004
247,"При условии, что много заниматься с ребенком, можно добиться больших успехов.",0,Syntax,Rusgram
248,Уже триста англичан решили на всякий случай получить страховые полисы от небесной напасти.,1,0,USE7
249,Конференция начнется завтра утром в 10 часов.,1,0,Testelets
250,Сегодня я особенно остро воспринимаю твою красоту.,1,0,Seliverstova
251,Командирам важно быть осведомленными.,1,0,Rusgram
252,"Этот порыв откровенности, вместе с другими мелкими событиями, имел для него и всей семьи его огромные последствия.",1,0,Seliverstova
253,"Я ему говорю, что заболел, а он смеется.",1,0,Paducheva2010
254,"Когда я вошел, он ел две груши.",0,Semantics,Paducheva2010
255,"У меня мама на пенсии, а у Нины она работает.",0,Semantics,Seliverstova
256,"Я ответил, что считаю его умным и опытным политиком, крупной фигурой современности.",1,0,Testelets
257,Мне дали квартиру поблизости от Филевского парка.,1,0,Seliverstova
258,"Он всегда говорил очень убедительно, и у меня возникали некоторые сомнения.",1,0,Testelets
259,"Я едва удержался, чтобы его не ударить.",1,0,Rusgram
260,Он не должен был успеть на поезд.,1,0,Paducheva2013
261,"Я хочу, чтобы в комнате был виден беспорядок, чтобы все стояло вверх дном.",1,0,Testelets
262,Из этого материала мы получили прочные стержни.,1,0,Seliverstova
263,Иван принял решение пойти на встречу один.,1,0,Testelets
264,"Я был близко от ее дома, но подойти к самому дому не смог.",1,0,Seliverstova
265,Наш поселок расположен далеко от железной дороги.,1,0,Seliverstova
266,Что вы предпочитаете — водку или коньяк?,1,0,Testelets
267,"Она то стихи читает, картины то показывает.",0,Syntax,Rusgram
268,У нее есть седые волосы.,1,0,Seliverstova
269,Лестница и под лестницей было подметено.,0,Syntax,Rusgram
270,Он больше не развлекает меня анекдотами.,1,0,Paducheva2013
271,"Слушая только голос разума, я совершил немало ошибок, а спустя годы научился слушать и верить своей интуиции.",0,Syntax,USE8
272,Она принимает теорию гранулярного пламени.,1,0,Seliverstova
273,Охотник закрывал чем-то вход в пещеру.,1,0,Paducheva2010
274,"Лыжи, мешок с сухарями и все нужное для побега было давно запасено у него.",1,0,Paducheva2004
275,"На обочине дороги стояла разбитая машина, а немного поодаль, в кювете, лежало отвалившееся колесо.",1,0,Seliverstova
276,"Иван встретил Марью, которые пошли в кино.",0,Syntax,Rusgram
277,"Он ясно понимал, что сейчас от него требуется.",1,0,Paducheva2010
278,Димка совсем обессилел от крика и слёз.,1,0,USE5
279,Иди скорее в школу.,1,0,Paducheva2010
280,Среди моих студентов есть способные люди.,1,0,Seliverstova
281,Она приняла к себе ребенка.,0,Semantics,Seliverstova
282,Я подарю ей эти книги.,1,0,Seliverstova
283,Танцоры стучали каблуками в такт музыке.,1,0,Paducheva2004
284,Через полчаса он уже сидел в буфете и пил пиво.,1,0,Paducheva2010
285,Бунин никого не хотел поставить рядом с собой.,1,0,Seliverstova
286,Критик сравнивает первую редакцию романа со второй.,1,0,Testelets
287,Сомнений у нас не возникло.,1,0,Paducheva2013
288,В зал внесли четыре ящика.,1,0,Paducheva2010
289,В ту ночь я беспокойно ворочалась на своем сундучке.,1,0,Paducheva2010
290,Для каждого растения существует оптимальный состав минеральных и органических элементов для роста и развития.,1,0,USE5
291,"Я могу сделать для вас все, что угодно, хоть сейчас.",1,0,Seliverstova
292,Так я ему и поверил!,1,0,Paducheva2013
293,"Толя, гони этого праведника из своей квартиры!",1,0,Paducheva2010
294,"Заглянув к нам в комнату, тётушка, чем-то, кажется, встревоженная, спросила, что не хотите ли вы прогуляться со мной по саду.",0,Syntax,USE8
295,"Должен же ты был о чем-то думать, когда делал такую вещь.",1,0,Seliverstova
296,Только ты можешь дать мне страдание.,0,Semantics,Seliverstova
297,Какое-нибудь задание было дано каждому из них.,1,0,Seliverstova
298,Ваня наконец прибил мне вешалку.,1,0,Paducheva2004
299,Члены Олимпийского комитета исполнены решимости добиться высокого качества подготовки трасс для лыжных гонок и биатлона.,1,0,USE5
300,В квартире есть беспорядок.,0,Semantics,Paducheva2013
301,"Кто-то стучит в дверь, откройте!",1,0,Paducheva2004
302,"Отец часто говорил, что очень любит шахматные соревнования и ловить рыбу.",0,Syntax,USE8
303,Магазин в два часа закрыт.,1,0,Paducheva2004
304,Он объяснил отсутствие Вани приходом Пети.,1,0,Paducheva2004
305,У магазина толпилось много народу.,1,0,Seliverstova
306,Он заслонился от меня газетой.,1,0,Paducheva2004
307,"Он сказал, что ему бы молочка.",1,0,Rusgram
308,"Он вдруг понял, что ей неприятны какие бы то ни было подробности его домашней жизни.",1,0,Paducheva2013
309,"Есть предметы, о которых можно иметь неверное или недостаточно точное понятие — без прямого ущерба для жизни.",1,0,Seliverstova
310,Почему ж в синтаксическом отношении не хотят видеть ничего сходного между формою именительного падежа и формами косвенных падежов?,0,Morphology,USE7
311,"В воздухе почуялась свежесть; по дороге вились крутящиеся ветерки, которые обыкновенно предшествуют грозе.",1,0,Paducheva2004
312,"Показавшаяся в двух местах нива с вызревавшим житом давала знать, что скоро должна появиться какая-нибудь деревня.",1,0,Paducheva2004
313,Его слова не могли убедить кого-нибудь.,0,Semantics,Seliverstova
314,Появились новые лекарственные препараты.,1,0,Paducheva2013
315,"Спасительный оазис то показывался, то исчез снова.",0,Syntax,USE8
316,"Те, кто служит делу просвещения, снаряжает молодых в долгий путь по жизни, развивает их ум и способности, благословляет на творческий поиск.",0,Syntax,USE8
317,На экскурсии в ботаническом саду школьники любовались редкими садовыми растениями.,1,0,USE5
318,Этой весной опять был сильный голод: уже второй год шла война.,1,0,Paducheva2004
319,Темнота и облачность перестали быть препятствием для обнаружения ракет где бы то ни было.,1,0,Paducheva2013
320,"В ночь на 15 апреля 1912 г. потерпел крушение не только пароход «Титаник», а вместе с ним миф о его непотопляемости.",0,Syntax,USE8
321,"Решал, но не решил.",1,0,Paducheva2010
322,Он погрузился в воду по пояс.,1,0,Paducheva2010
323,Я взяла его за своего брата.,0,Semantics,Seliverstova
324,К его удивлению Анна приняла это известие очень спокойно.,1,0,Seliverstova
325,Она приняла его в своем кабинете.,1,0,Seliverstova
326,Он получил похвальную грамоту.,1,0,Seliverstova
327,К злостным нарушителям правил дорожного движения будут применяться суровые штрафные санкции.,1,0,USE5
328,"Я принес документы, чтобы мне не быть на суде голословным.",1,0,Rusgram
329,"Если лишить человека возможности слышать, видеть, осязать, лишить контактов с миром –– он перестанет осознавать себя и сойдет с ума.",1,0,Paducheva2004
330,Я был у приятеля.,1,0,Paducheva2013
331,Любой из вас мог бы пойти туда.,1,0,Seliverstova
332,Танцевало три человека.,1,0,Mitrenina
333,Он дал мне толчок.,0,Semantics,Seliverstova
334,"Маша только мало того что на пять минут опоздала, еще и сделала прекрасный доклад.",0,Syntax,Rusgram
335,А где же Ваша жена?,1,0,Paducheva2010
336,Он сидел две минуты.,1,0,Paducheva2013
337,"Тот, кто сначала взял обязательство каждый день отжиматься на один раз больше и выполняет его, становится сильным!",1,0,Lutikova
338,Я две недели не был дома.,1,0,Paducheva2013
339,Больной съел немного бульона.,1,0,Paducheva2010
340,"Он отрицает, что все знает об этом.",1,0,Testelets
341,"Опомнившись и схватив рюкзак, ноги понесли Сергея прочь от этой тёмной улочки.",0,Syntax,USE8
342,"Ответчику направлена претензия, на которую получен ответ, в котором даны пояснения по делу.",0,Syntax,USE8
343,Больницу принес обозу приказ комбата занять больницу очередной день.,0,Syntax,Lutikova
344,Мой дядя восходил на Эверест.,1,0,Paducheva2010
345,"За легкой стеной палатки, прямо возле моей головы, начиналось гречишное поле.",1,0,Seliverstova
346,"Прошло 400 лет с тех пор, как Иван Грозный не убил (*не убивал) своего сына.",1,0,Paducheva2013
347,"Иван не знает, что приехала Маша.",1,0,Paducheva2013
348,Прямо он этого не сказал.,1,0,Paducheva2013
349,Он позвал меня на свой концерт.,1,0,Paducheva2010
350,Дай мне тот стакан воды.,0,Semantics,Paducheva2010
351,"Хотя, безусловно, есть люди, которые могут провести параллели ни между чем угодно.",0,Syntax,Testelets
352,"Каждое утро мимо нас по коридору проносили большие термоса и корзинки с провиантом для наркома на случай, если он в обеденное время окажется здесь.",0,Morphology,USE7
353,"Когда комья снега временами срывались с высоких сосен, они нарушат тишину.",0,Syntax,USE8
